iso2,country_name,juriglobe_class,mixed_components,bucket,notes
AE,United Arab Emirates,Mixed,Muslim law/Customary law,Other,
AT,Austria,Civil law,,Civil law,
AU,Australia,Common law,,Common law,
BD,Bangladesh,Mixed,Muslim law/Common law,Other,
BG,Bulgaria,Civil law,,Civil law,
BR,Brazil,Civil law,,Civil law,
CA,Canada,Common law,(minus Quebec: Civil law/Common law),Common law,
CH,Switzerland,Civil law,,Civil law,
CN,China,Mixed,Civil law/Customary law (minus HK and Macao),Other,
CZ,Czechia,Civil law,,Civil law,
DE,Germany,Civil law,,Civil law,
DR,Dominican Republic,Civil law,,Civil law,
EG,Egypt,Mixed,Muslim law/Civil law,Other,
ES,Spain,Civil law,,Civil law,
FI,Finland,Civil law,,Civil law,
FR,France,Civil law,,Civil law,
GR,Greece,Civil law,,Civil law,
HK,Hong Kong,Mixed,Common law/Customary law,Other,Per JuriGlobe note in China entry: HK uses Common law/Customary law
IN,India,Mixed,Common law/Muslim law/Customary law,Other,
IR,Iran,Mixed,Muslim law/Civil law,Other,
IT,Italy,Civil law,,Civil law,
JP,Japan,Mixed,Civil law/Customary law,Other,
KR,South Korea,Mixed,Civil law/Customary law,Other,
NZ,New Zealand,Common law,,Common law,
PA,Panama,Civil law,,Civil law,
PH,Philippines,Mixed,Common law/Civil law,Other,
PL,Poland,Civil law,,Civil law,
RU,Russia,Civil law,,Civil law,
SA,Saudi Arabia,Muslim law,,Other,
SE,Sweden,Civil law,,Civil law,
SG,Singapore,Mixed,Common law/Muslim law,Other,
TH,Thailand,Civil law,,Civil law,
TR,Turkey,Civil law,,Civil law,
TW,Taiwan,Civil law,,Civil law,Not in JuriGlobe UN list (Taiwan is not a UN member). Classified Civil by convention; legal system is German-derived via Japanese transmission.
UA,Ukraine,Civil law,,Civil law,
UK,United Kingdom,Common law,(minus Scotland: Civil law/Common law; Channel Islands: Customary law),Common law,
US,United States,Common law,(minus Louisiana: Civil law/Common law),Common law,
VN,Vietnam,Civil law,,Civil law,
